"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","21181","python3.8","127.0.0.1","21181  ""<default domain>:{'traceMarker': ['onegpu.py:93', 'onegpu.py:74', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torchvision/models/vgg.py:49', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:446', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:442']}:none:none:none:none:none:none""  ""<default domain>:{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (32, 3, 224, 224), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64, 3, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}:none:none:none:none:none:none""  ""<default domain>:aten::conv2d, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::_convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::cudnn_convolution, seq = 355:none:none:none:none:none:none"" ","","void cask_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask_cudnn::ComputeOffsetsParams)","2021-Nov-08 07:02:10","1","7","Command line profiler metrics","l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_active+l1tex__tex_writeback_active.avg.pct_of_peak_sustained_active","","n/a"
"0","21181","python3.8","127.0.0.1","21181  ""<default domain>:{'traceMarker': ['onegpu.py:93', 'onegpu.py:74', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torchvision/models/vgg.py:49', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:446', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:442']}:none:none:none:none:none:none""  ""<default domain>:{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (32, 3, 224, 224), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64, 3, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}:none:none:none:none:none:none""  ""<default domain>:aten::conv2d, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::_convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::cudnn_convolution, seq = 355:none:none:none:none:none:none"" ","","void cask_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask_cudnn::ComputeOffsetsParams)","2021-Nov-08 07:02:10","1","7","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","26.03"
"0","21181","python3.8","127.0.0.1","21181  ""<default domain>:{'traceMarker': ['onegpu.py:93', 'onegpu.py:74', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torchvision/models/vgg.py:49', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:446', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:442']}:none:none:none:none:none:none""  ""<default domain>:{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (32, 3, 224, 224), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64, 3, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}:none:none:none:none:none:none""  ""<default domain>:aten::conv2d, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::_convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::cudnn_convolution, seq = 355:none:none:none:none:none:none"" ","","void cask_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask_cudnn::ComputeOffsetsParams)","2021-Nov-08 07:02:10","1","7","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","99.24"
"0","21181","python3.8","127.0.0.1","21181  ""<default domain>:{'traceMarker': ['onegpu.py:93', 'onegpu.py:74', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torchvision/models/vgg.py:49', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:446', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:442']}:none:none:none:none:none:none""  ""<default domain>:{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (32, 3, 224, 224), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64, 3, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}:none:none:none:none:none:none""  ""<default domain>:aten::conv2d, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::_convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::cudnn_convolution, seq = 355:none:none:none:none:none:none"" ","","void cask_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask_cudnn::ComputeOffsetsParams)","2021-Nov-08 07:02:10","1","7","Command line profiler metrics","lts__t_sector_op_read_hit_rate.pct","%","81.34"
"0","21181","python3.8","127.0.0.1","21181  ""<default domain>:{'traceMarker': ['onegpu.py:93', 'onegpu.py:74', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torchvision/models/vgg.py:49', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:446', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:442']}:none:none:none:none:none:none""  ""<default domain>:{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (32, 3, 224, 224), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64, 3, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}:none:none:none:none:none:none""  ""<default domain>:aten::conv2d, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::_convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::cudnn_convolution, seq = 355:none:none:none:none:none:none"" ","","void cask_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask_cudnn::ComputeOffsetsParams)","2021-Nov-08 07:02:10","1","7","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","3.84"
"0","21181","python3.8","127.0.0.1","21181  ""<default domain>:{'traceMarker': ['onegpu.py:93', 'onegpu.py:74', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torchvision/models/vgg.py:49', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:446', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:442']}:none:none:none:none:none:none""  ""<default domain>:{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (32, 3, 224, 224), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64, 3, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}:none:none:none:none:none:none""  ""<default domain>:aten::conv2d, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::_convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::cudnn_convolution, seq = 355:none:none:none:none:none:none"" ","","void cask_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask_cudnn::ComputeOffsetsParams)","2021-Nov-08 07:02:10","1","7","Command line profiler metrics","lts__t_sectors_op_read.sum+lts__t_sectors_op_atom.sum+lts__t_sectors_op_red.sum","","n/a"
"0","21181","python3.8","127.0.0.1","21181  ""<default domain>:{'traceMarker': ['onegpu.py:93', 'onegpu.py:74', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torchvision/models/vgg.py:49', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:446', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:442']}:none:none:none:none:none:none""  ""<default domain>:{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (32, 3, 224, 224), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64, 3, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}:none:none:none:none:none:none""  ""<default domain>:aten::conv2d, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::_convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::cudnn_convolution, seq = 355:none:none:none:none:none:none"" ","","void cask_cudnn::computeOffsetsKernel<(bool)0, (bool)0>(cask_cudnn::ComputeOffsetsParams)","2021-Nov-08 07:02:10","1","7","Command line profiler metrics","lts__t_sectors_srcunit_tex_op_read.sum","sector","0"
"1","21181","python3.8","127.0.0.1","21181  ""<default domain>:{'traceMarker': ['onegpu.py:93', 'onegpu.py:74', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torchvision/models/vgg.py:49', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:446', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:442']}:none:none:none:none:none:none""  ""<default domain>:{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (32, 3, 224, 224), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64, 3, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}:none:none:none:none:none:none""  ""<default domain>:aten::conv2d, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::_convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::cudnn_convolution, seq = 355:none:none:none:none:none:none"" ","","volta_scudnn_128x64_relu_medium_nn_v1","2021-Nov-08 07:02:10","1","7","Command line profiler metrics","l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_active+l1tex__tex_writeback_active.avg.pct_of_peak_sustained_active","","n/a"
"1","21181","python3.8","127.0.0.1","21181  ""<default domain>:{'traceMarker': ['onegpu.py:93', 'onegpu.py:74', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torchvision/models/vgg.py:49', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:446', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:442']}:none:none:none:none:none:none""  ""<default domain>:{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (32, 3, 224, 224), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64, 3, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}:none:none:none:none:none:none""  ""<default domain>:aten::conv2d, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::_convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::cudnn_convolution, seq = 355:none:none:none:none:none:none"" ","","volta_scudnn_128x64_relu_medium_nn_v1","2021-Nov-08 07:02:10","1","7","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","36.87"
"1","21181","python3.8","127.0.0.1","21181  ""<default domain>:{'traceMarker': ['onegpu.py:93', 'onegpu.py:74', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torchvision/models/vgg.py:49', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:446', '/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:442']}:none:none:none:none:none:none""  ""<default domain>:{'mod': 'torch.nn.functional', 'op': 'conv2d', 'args': [{'name': '', 'type': 'tensor', 'shape': (32, 3, 224, 224), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64, 3, 3, 3), 'dtype': 'float32'}, {'name': '', 'type': 'tensor', 'shape': (64,), 'dtype': 'float32'}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'tuple', 'value': (1, 1)}, {'name': '', 'type': 'int', 'value': 1}]}:none:none:none:none:none:none""  ""<default domain>:aten::conv2d, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::_convolution, seq = 355:none:none:none:none:none:none""  ""<default domain>:aten::cudnn_convolution, seq = 355:none:none:none:none:none:none"" ","","volta_scudnn_128x64_relu_medium_nn_v1","2021-Nov-08 07:02:10","1","7","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","94.77"
